epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3189,0.41685,0.72414,1,1.20713,0.00040008,0.00040008,0.00040008
2,21.5062,0.05871,0.72414,1,1.11849,0.000735964,0.000735964,0.000735964
3,32.122,0.02862,0.72414,1,0.5344,0.000989331,0.000989331,0.000989331
4,42.3894,0.02443,0.7931,1,0.28031,0.00116018,0.00116018,0.00116018
5,52.5639,0.0133,0.82759,1,0.23496,0.00100687,0.00100687,0.00100687
6,62.8777,0.01128,0.96552,1,0.128,0.000841835,0.000841835,0.000841835
7,72.8916,0.01182,1,1,0.0265,0.000676802,0.000676802,0.000676802
8,82.9161,0.00707,1,1,0.023,0.000511769,0.000511769,0.000511769
9,93.2593,0.00164,1,1,0.01531,0.000346736,0.000346736,0.000346736
10,103.523,0.00705,1,1,0.01161,0.000181703,0.000181703,0.000181703
